Time (ms),2022-02-03_multipletau_CH2_BIN0dot001_us_2Hs-PEX5-eGFP5_T91s_1_correlation-CH2_2,2022-02-03_multipletau_CH2_BIN0dot001_us_2Hs-PEX5-eGFP5_T91s_1_correlation-CH2_2 fitted model: ,2022-02-03_multipletau_CH2_BIN0dot001_us_Hs-PEX5-eGFP1_T0s_1_correlation-CH2_2,2022-02-03_multipletau_CH2_BIN0dot001_us_Hs-PEX5-eGFP1_T0s_1_correlation-CH2_2 fitted model: ,2022-02-03_multipletau_CH2_BIN0dot001_us_Hs-PEX5-eGFP2_T26s_1_correlation-CH2_2,2022-02-03_multipletau_CH2_BIN0dot001_us_Hs-PEX5-eGFP2_T26s_1_correlation-CH2_2 fitted model: ,
180.224,-0.00008138774639298604,0.0005404450640991619,-0.00006377721324305643,0.0005895993354344663,-0.00012890892124415725,0.0005354101280603904,
196.608,0.00014259641878289973,0.0005387441884447562,0.0002610138840082362,0.0005877882571349792,-0.0003081702517216365,0.000533698457499777,
212.99200000000002,0.00009158724763084549,0.0005373611572290033,0.0002810104353281141,0.0005863154791274326,-0.00006405596905044446,0.0005323065977385466,
229.376,0.0004915917057137647,0.0005362186117069494,0.0003219425998112316,0.0005850986948633285,0.0002442236821354471,0.0005311567228458523,
245.76,-0.0002253462335171308,0.0005352618235462968,0.00010698751266700355,0.0005840796672808771,0.0003943261402814614,0.0005301937708881726,
262.144,-0.00009273925546608785,0.0005344510982120518,0.00008604956495791719,0.0005832161517238371,0.0002304356338253178,0.0005293778034349739,
294.91200000000003,0.0001992778824071529,0.0005331573690297778,-0.0002181848591346848,0.0005818380779162976,-0.0001678008174971553,0.0005280756707735396,
327.68,-0.00011040017979408895,0.0005321769019476849,0.00015280916261668914,0.0005807936000359557,-0.0002114169386911082,0.0005270888020699855,
360.448,-0.00013052878495716403,0.0005314129094098831,0.00006474332961217291,0.0005799796730091727,-0.00020206597994190144,0.0005263198004741793,
393.216,0.000032601584523981025,0.0005308039243045345,0.0000138513939934566,0.0005793308474364236,0.00003251386933791829,0.0005257068088597834,
425.98400000000004,-0.000052553346384735256,0.0005303092311172107,-0.00009738881398680206,0.000578803765417471,0.00012522534379272402,0.0005252088516933624,
458.752,0.00009409325621242491,0.0005299009023043211,-0.000017178517832020343,0.0005783686843347418,0.00017286168289515496,0.0005247978221153795,
491.52,-0.00001619462176447886,0.0005295592103183352,-0.00011700796696146415,0.0005780045929325797,0.00011948040054193572,0.0005244538653329127,
524.288,0.00007162937178638145,0.000529269865563544,-0.00018815356789021018,0.0005776962707844549,0.00007116103849490773,0.0005241625992185967,
589.8240000000001,-0.00006383117501060378,0.0005288085045222496,0.00011031529544939617,0.0005772046312954712,-0.00011145700713237001,0.0005236981675775669,
655.36,0.00007820328381179015,0.0005284591713435197,0.00005773457738098244,0.0005768323556344025,0.00012845145791345197,0.0005233465034060575,
720.896,-0.000026973140180079927,0.0005281871648489467,0.00006143418065465211,0.0005765424748430358,0.00004298824344114894,0.0005230726781151906,
786.432,-0.00008930546689094233,0.0005279704768029454,0.00009308372206594469,0.0005763115408805617,0.000110546490373483,0.0005228545386761278,
851.9680000000001,-0.000028027821897403785,0.0005277945451372558,-0.000005839757002387807,0.0005761240381781883,-0.00014936273876338193,0.0005226774269089165,
917.504,-0.000002688892611745034,0.0005276493906854312,-0.00009952288342779271,0.0005759693336722862,-0.00004582183877170974,0.0005225312976070243,
983.04,-0.00005879249722976226, ,0.000031470232604557586, ,-0.00028907414697560704, ,
1048.576,0.000031573029482936394, ,-0.00015425083588950996, ,-0.00017061619269403538, ,
1179.6480000000001,-0.000026585324786828387, ,0.0001037509905403248, ,0.000032110154527910585, ,
1310.72,-0.00014236123970073019, ,-0.00003803020819762864, ,-0.0000029310176631502854, ,
1441.792,0.00003557486792108811, ,-0.00014749164799733187, ,-0.00010940860166214622, ,
1572.864,0.0000010592615243458683, ,-0.0000778726894953235, ,-0.000019562972254441693, ,
1703.9360000000001,-0.0000566482875934952, ,-0.000019463688192670653, ,0.00005224334634272829, ,
1835.008,-0.0000561373899045968, ,-0.0000785168001787145, ,0.000008907011834616037, ,
1966.08,-0.00014252997922459994, ,-0.00008873923973121417, ,-0.00005567212050026885, ,
2097.152,-0.000023281207663110526, ,-0.00011324125320417624, ,0.0000661244717050128, ,
2359.2960000000003,0.000005796455747723725, ,0.0000010121101594900076, ,-0.000006775117291676367, ,
2621.44,-0.0001235269688232035, ,-0.00007128481513943061, ,-0.000007840234489826129, ,
2883.584,-0.00007605853867513015, ,0.00013087085867530363, ,0.00007290692819492921, ,
3145.728,-0.00004405329195903531, ,0.000041833829947883473, ,0.000012612984315930422, ,
3407.8720000000003,0.00010153634493911182, ,-0.000007464131723793998, ,0.0000777598096600581, ,
3670.016,0.00012570672162147357, ,0.00006856463182059284, ,-0.00006135770055058189, ,
3932.16,0.00021816644647584902, ,-0.000021529278673659303, ,-0.00005472669127456014, ,
4194.304,-0.000025329666353517118, ,-0.00008539784973741636, ,-0.00007212791758838434, ,
4718.592000000001,-0.000032961398424481224, ,-0.00001918735894013238, ,-0.000014754996302734786, ,
5242.88,-0.00001797001523728107, ,0.00003498347048332016, ,0.00003779545668672837, ,
5767.168,-0.000028125325234038065, ,-0.00010000695207504066, ,0.000010100227372647372, ,
6291.456,-0.00020524342674698004, ,0.0001307243979523526, ,-0.00011239185251503308, ,
6815.744000000001,0.000010972728031780589, ,-0.00004244492246915624, ,-0.000010415887234070302, ,
7340.032,0.00016986699707441933, ,-0.000009286680217447375, ,-0.00001438104456755687, ,
7864.32,0.00005051109720901783, ,-0.00009854858187796559, ,0.000017790427174682753, ,
8388.608,-0.00003544900732203168, ,-0.00010305114146635617, ,0.00013107309596687832, ,
9437.184000000001,0.000012755922353569477, ,0.000016560513411640195, ,-0.000018939100286255353, ,
10485.76,-0.00006744285219039541, ,-0.00004706823317357298, ,0.00005818539185418569, ,
11534.336,0.00005327934905145582, ,-0.00006115848966368787, ,-0.00001170683572693833, ,
12582.912,-0.000042543224735413746, ,0.00013557221012616162, ,-0.00005584230192668985, ,
13631.488000000001,-0.00011087974374572394, ,-0.0000413691987528145, ,0.000052611228936994364, ,
14680.064,0.0001591387553201294, ,0.000002454990171303518, ,-0.00008362002095145951, ,
15728.64,-0.00010318519275562346, ,-0.0000541677156282533, ,0.0000036712727847867173, ,
16777.216,0.000006279452607208659, ,0.00007983206728205291, ,0.00002471921733340727, ,
