Time (ms),hs-pex5_noc,hs-pex5_noc fitted model: ,tb-pex5_noc,tb-pex5_noc fitted model: ,tb-pex5_0cd20,tb-pex5_0cd20 fitted model: ,tb-pex5_thr-7,tb-pex5_thr-7 fitted model: ,
1e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
2e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
3e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
4e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
5e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
6e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
8e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1.2e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1.4e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1.6e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1.8e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
2.2e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
2.6e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
3e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
3.4e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
3.8e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
4.2e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
5e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
5.8e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
0.294906,0.38919215717057154,0.3914922183866958,0.5926343574788903,0.5972451692816781,0.4023724141050653,0.40004174177978813,0.3968348202944267,0.4012622210152207,
0.327674,0.3691320762297902,0.37228685118162597,0.5678701579503844,0.5732516197358131,0.38143508199188575,0.3793425260410594,0.3761810082870118,0.3816476690607894,
0.360442,0.35053690283859584,0.35485897434800207,0.545509843115285,0.5512258697932471,0.36166196224866826,0.3606401350233239,0.3576262949689446,0.36392630965854134,
0.39321,0.3339485242143025,0.33896491792776484,0.5244061846938605,0.5309233058396922,0.3440964581711883,0.34365178184600176,0.3416564487783571,0.3478282650680327,
0.458746,0.3070455896971418,0.3110235530298199,0.49006908459997794,0.49471930015775556,0.31438742945019765,0.3139445712363407,0.31396799061961916,0.31967266724094084,
0.524282,0.28263034802781,0.2872495229678954,0.4587332758162548,0.4633833600121427,0.28797350770614244,0.2888261983408464,0.2901571020959686,0.29585760178824483,
0.589818,0.26193428943899333,0.2667745987595473,0.43205563072274894,0.43598935338505984,0.2654351384195334,0.2673093908709565,0.26986213218898486,0.2754479967847645,
0.655354,0.24405495558392248,0.2489571447463347,0.40810063361205606,0.4118337298036123,0.24577512338082605,0.2486721038522896,0.252434374956009,0.25776048081311553,
0.72089,0.22866740642212935,0.23331197387563182,0.3873544095259605,0.39037132288789483,0.22845816186981693,0.23237337961612206,0.23758105155956047,0.24228328432796895,
0.786426,0.21482872495713298,0.21946526193306587,0.36872410166565717,0.3711729408573039,0.21304986518903332,0.2179997982051416,0.2249559200568092,0.22862541444981832,
0.917498,0.19278463165655862,0.1960566380286808,0.33816268172018227,0.33826391248591886,0.18875249293840224,0.1938102259076648,0.20477648331015863,0.20561622764351425,
1.04857,0.17437529360457552,0.17702823168666323,0.3117850227641867,0.31106965173601603,0.16796270290206988,0.1742484016067108,0.18726336210019265,0.18697949707613937,
1.179642,0.1590942312958245,0.16125836259158366,0.28893845690217335,0.2882098197700861,0.1506385132998967,0.15810532945611086,0.17248340000226986,0.171572825163341,
1.310714,0.14652346349300843,0.14797814746482363,0.2693353631534027,0.2687158442145324,0.13654393086069777,0.14455932355194945,0.16002122801080917,0.15862000437149726,
1.441786,0.1354125472927899,0.1366429092118858,0.2525131008356086,0.251888019520377,0.12457722689917866,0.13303241494119644,0.14936333922862832,0.14757517418125993,
1.572858,0.1259720504536003,0.12685600855938714,0.2385290434580783,0.2372082559895823,0.11446320976323929,0.12310623217617235,0.13972035086785903,0.13804327287647414,
1.835002,0.11098982454222552,0.11081519855867283,0.21495738866191835,0.21281564339276215,0.09901649938104588,0.10689012785532048,0.12484546654540589,0.12241746647126463,
2.097146,0.09911768544788899,0.09822581468270083,0.1952744175831517,0.1933443820681716,0.08708906831664934,0.0942099245327408,0.11271845397835528,0.11013666384224613,
2.35929,0.08930547109182017,0.08808738492060211,0.17885504541381825,0.17742023492526146,0.07784242178271175,0.08402889442645209,0.10247520822200007,0.10022222596089435,
2.621434,0.08120402156261282,0.07975179950929394,0.165393078555025,0.16413832543120366,0.07080522269077275,0.07567921347571518,0.09445268035658827,0.09204374062424396,
2.883578,0.07464772529331798,0.07278075372377558,0.15320257397548606,0.15287842743009245,0.06441717161932067,0.06871129996554895,0.08733489239548078,0.08517676751633252,
3.145722,0.06873995861971752,0.06686721879982264,0.14306727911610626,0.14320112610140964,0.058900552485593366,0.06281141257174441,0.08096019228190028,0.07932505289450453,
3.67001,0.05952499745851746,0.0573845163290484,0.12787176602398528,0.12739538611175108,0.05091662251960067,0.05337258754415071,0.071630462782369,0.06987098396077236,
4.194298,0.05220359993569945,0.05012467620672078,0.11548951048417583,0.11499904211758698,0.0442607368802432,0.046165743846704244,0.06407840756720892,0.06255035023172481,
4.718586,0.04661411459064887,0.04439620664571899,0.10555635969144407,0.10498737519997257,0.038791877870035664,0.04049190136883356,0.05781983488320918,0.05670189638264823,
5.242874,0.04206086719103893,0.039766851047788127,0.096949907573291,0.09671194896778981,0.03437798797503268,0.035915610766728244,0.05249193319922054,0.05191308545578388,
5.767162,0.03812025200687154,0.03595258129686434,0.08971904306736259,0.08974204870364468,0.031215015006961496,0.032151536400593005,0.04835656905654118,0.0479131095617115,
6.29145,0.03460859127029811,0.032759123975807734,0.0851811014028661,0.08378011862474788,0.028734490230052364,0.029004960490244383,0.04484388952128914,0.04451676452533679,
7.340026,0.029727096740407077,0.027722804261278423,0.07698562239776165,0.0740873694030526,0.024771146052020247,0.0240524732891182,0.0393994130376825,0.03904663529441896,
8.388602,0.02598478323605647,0.02394191348882497,0.06862846104338821,0.06651377952560013,0.021234072091870317,0.0203434426744441,0.034353564202018065,0.0348185383365484,
9.437178,0.02341850673089518,0.021008126744834495,0.06170346768445175,0.06040897620416969,0.019043458665729665,0.017471437756090107,0.030881998411937384,0.031440636923276706,
10.485754,0.021006152628633087,0.018671812187576856,0.05524323526103062,0.05536811488037919,0.017064951602654695,0.01518857253557361,0.028349566133969363,0.028671929259948836,
11.53433,0.01855526690148132,0.016771928564384742,0.050350389566469526,0.0511252238295315,0.015469716934328802,0.013335256980875645,0.02570687528805501,0.02635576616989163,
12.582906,0.016750743864954867,0.015200036441176927,0.045950869663462075,0.047497869552659965,0.013848033778053877,0.011804221796854317,0.023554575854169243,0.02438573443262342,
14.680058,0.014232530852406864,0.012759071920394138,0.04036875757112983,0.0416060711482793,0.011110024118198222,0.009431401414572957,0.0206024660134727,0.021204852271517558,
16.77721,0.012262113803116176,0.010960523118136646,0.03609962904371038,0.0370107245410466,0.008521802259880421,0.007687227403602425,0.017756348707520915,0.01873892539528873,
18.874362,0.010916359125061432,0.009587491301338194,0.03289887932522876,0.033316038119382316,0.007308266403842272,0.006358445197143847,0.016109037462153968,0.016764630503826854,
20.971514,0.009487369165397604,0.008509727318094101,0.0301849815581979,0.030275119695056044,0.006488306500709417,0.005317291522228204,0.014051223396040624,0.015144333463009186,
23.068666,0.008567121567354882,0.007644518744002528,0.0260356969375384,0.027725238244243767,0.005568007335789095,0.0044828010299021075,0.013223531338587485,0.013788237920513135,
25.165818,0.007484136402986336,0.0069369525975401854,0.024357063124729107,0.025554381316268207,0.004677513382664093,0.0038013215287685045,0.011842509047612708,0.012635063182955254,
29.360122,0.006927132330273979,0.005854516983874238,0.02102618515465677,0.022051614160603306,0.0032508748490701054,0.0027606599088168954,0.009994271023114884,0.010775738599025152,
33.554426,0.00588587628272676,0.005071063707058525,0.019197812595253376,0.019345334846987,0.002798708385779837,0.002009019463277817,0.008919339955087861,0.009339073366552219,
37.74873,0.005036517853540016,0.004481974938746906,0.015733178400618036,0.017190094778833098,0.0023535221370519087,0.0014448357328259113,0.007837825940798248,0.008193892471869427,
41.943034,0.004521319408543539,0.004025579173968759,0.015553467154895969,0.015432629137415999,0.00236790895832039,0.001008378767155261,0.00724920268558952,0.007258786101981676,
46.137338,0.003606483905581758,0.0036633487043630435,0.013418524913630638,0.013972020821134048,0.001437878277054744,0.0006624102062732042,0.0064407268843037,0.006480368376887792,
50.331642,0.0035611224331535208,0.0033700758497137158,0.01278022369723128,0.01273898457657507,0.0012279755750402833,0.00038260958628312264,0.005715470805525116,0.005822083119367152,
58.72025,0.002853532991904886,0.0029270141915038305,0.011144864481939507,0.01077207070498182,0.0011102772193651719,-3.953276206106562e-05,0.004523665063915611,0.004769230610866872,
