,20 nM AF48897_T1160s_1_CH2_BIN1.0_PREPRO,20 nM AF48896_T1142s_1_CH2_BIN1.0_PREPRO,20 nM AF4887_T74s_1_CH2_BIN1.0_PREPRO
536,0.4056338,0.33636364,0.4923077
537,0.36619717,0.23030303,0.18769231
538,0.4028169,0.2090909,0.35692307
539,0.24507043,0.4,0.44923076
540,0.44788733,0.54242426,0.24923077
541,0.4084507,0.4,0.39076924
542,0.27887323,0.47575757,0.39692307
543,0.4169014,0.3272727,0.2830769
544,0.35492957,0.530303,0.24615385
545,0.51267606,0.45757577,0.23384616
546,0.5042254,0.4030303,0.30461538
547,0.66760564,0.15151516,0.40307692
548,0.46478873,0.22424242,0.28923076
549,0.5408451,0.43636364,0.32923076
550,0.48450705,0.3939394,0.25538462
551,0.35211268,0.58787876,0.37538463
552,0.30140844,0.5272727,0.5507692
553,0.2169014,0.35151514,0.4523077
554,0.32394367,0.35757574,0.49846154
555,0.515493,0.3181818,0.4
556,0.4112676,0.23030303,0.17538461
557,0.36619717,0.37272727,0.16923077
558,0.51830983,0.57878786,0.39692307
559,0.49577466,0.5939394,0.35692307
560,0.35492957,0.46060607,0.3476923
561,0.3887324,0.53939396,0.3846154
562,0.3774648,0.8393939,0.3723077
563,0.48732394,0.55757576,0.39384615
564,0.33521128,0.5,0.36
565,0.4028169,0.44848484,0.40923077
566,0.428169,0.42727274,0.29846153
567,0.25070423,0.58181816,0.27076924
568,0.30422536,0.4909091,0.3476923
569,0.23380281,0.3181818,0.14769231
570,0.515493,0.5969697,0.5661538
571,0.31830987,0.34848484,0.16615385
572,0.3774648,0.5969697,0.5723077
573,0.45633802,0.28484848,0.59384614
574,0.6112676,0.19090909,0.5476923
575,0.52112675,0.44848484,0.40923077
576,0.5492958,0.59090906,0.30153847
577,0.43098593,0.6060606,0.5630769
578,0.32112676,0.4181818,0.62153846
579,0.29577464,0.34848484,0.52615386
580,0.31267604,0.6575758,0.32
581,0.5042254,0.5090909,0.44615385
582,0.50985914,0.2060606,0.32307693
583,0.45352113,0.33333334,0.27384615
584,0.3915493,0.6636364,0.36307693
585,0.3887324,0.6212121,0.3353846
586,0.5521127,0.47575757,0.6430769
587,0.47605634,0.3939394,0.38153845
588,0.47323942,0.26666668,0.29846153
589,0.5746479,0.36666667,0.53846157
590,0.49859154,0.3969697,0.61846155
591,0.4084507,0.21818182,0.28615385
592,0.5915493,0.2,0.4430769
593,0.3802817,0.29090908,0.46461537
594,0.31830987,0.4848485,0.52307695
595,0.29014084,0.58181816,0.30461538
596,0.29577464,0.43939394,0.5415385
597,0.31549296,0.5181818,0.4
598,0.36056337,0.45151514,0.4430769
599,0.2140845,0.6363636,0.24
600,0.30704224,0.43030304,0.13538462
601,0.3887324,0.34242424,0.3476923
602,0.51830983,0.18787879,0.17230769
603,0.3915493,0.26666668,0.18153846
604,0.115492955,0.25757575,0.16923077
605,0.31267604,0.4030303,0.25538462
606,0.49859154,0.43939394,0.40923077
607,0.2535211,0.33030304,0.43384615
608,0.5915493,0.22727273,0.3476923
609,0.22535211,0.33939394,0.22461538
610,0.32112676,0.47878787,0.12307692
611,0.6225352,0.38181818,0.44615385
612,0.4197183,0.2030303,0.3323077
613,0.22253521,0.47878787,0.18153846
614,0.46478873,0.57272726,0.27384615
615,0.32676056,0.5060606,0.2769231
616,0.47042254,0.3909091,0.36307693
617,0.44788733,0.6787879,0.51076925
618,0.371831,0.43030304,0.3846154
619,0.45352113,0.4969697,0.2676923
620,0.4056338,0.27272728,0.2676923
621,0.7492958,0.47575757,0.29538462
622,0.52394366,0.3272727,0.21230769
623,0.571831,0.37272727,0.39384615
624,0.50985914,0.4121212,0.2276923
625,0.5380282,0.3969697,0.17846154
626,0.4225352,0.5121212,0.5446154
627,0.45915493,0.16060606,0.40307692
628,0.6309859,0.3090909,0.34461537
629,0.31267604,0.26363635,0.35076922
630,0.44788733,0.3939394,0.44615385
631,0.13239437,0.46060607,0.5846154
632,0.30422536,0.25151515,0.4276923
633,0.36056337,0.5,0.20307693
634,0.26478875,0.27272728,0.31076923
635,0.2056338,0.10606061,0.4276923
636,0.47887325,0.47878787,0.35076922
637,0.34366196,0.3151515,0.36
638,0.5633803,0.44242424,0.31692308
639,0.4084507,0.5181818,0.34153846
640,0.34084508,0.58787876,0.5446154
641,0.2197183,0.73939395,0.72923076
642,0.3802817,0.5272727,0.47384617
643,0.4169014,0.35454544,0.41230768
644,0.3830986,0.26666668,0.45846155
645,0.49295774,0.14242424,0.5507692
646,0.51830983,0.44848484,0.36615384
647,0.36056337,0.25151515,0.47384617
648,0.6112676,0.1969697,0.28923076
649,0.3887324,0.22727273,0.51384616
650,0.26760563,0.46060607,0.36
651,0.22816901,0.6848485,0.28923076
652,0.48450705,0.18181819,0.2646154
653,0.50985914,0.28787878,0.21846154
654,0.69859153,0.3151515,0.25230768
655,0.47605634,0.42424244,0.25230768
656,0.5295775,0.3212121,0.28615385
657,0.49014086,0.37575758,0.44
658,0.34929577,0.47575757,0.37538463
659,0.4056338,0.54848486,0.32615384
660,0.25915492,0.6181818,0.3723077
661,0.4112676,0.3242424,0.34461537
662,0.371831,0.5242424,0.4276923
663,0.5971831,0.54848486,0.41846153
664,0.5408451,0.43939394,0.3353846
665,0.5492958,0.4181818,0.6523077
666,0.34647888,0.47575757,0.40615386
667,0.5492958,0.45454547,0.42153847
668,0.4394366,0.23030303,0.4553846
669,0.5295775,0.3181818,0.8153846
670,0.371831,0.6666667,0.4953846
671,0.17746478,0.44545454,0.10769231
672,0.45633802,0.5090909,0.14769231
673,0.4112676,0.43939394,0.08615384
674,0.36619717,0.34545454,0.24615385
675,0.56619716,0.4181818,0.2676923
676,0.5690141,0.54545456,0.23076923
677,0.26478875,0.530303,0.28
678,0.43661973,0.42424244,0.5692308
