Time (ms),2022-02-02_multipletau_CH2_BIN0dot001_us_HsPEX5EGFP 1-1000015_T309s_1_correlation-CH2_2,2022-02-02_multipletau_CH2_BIN0dot001_us_HsPEX5EGFP 1-1000015_T309s_1_correlation-CH2_2 fitted model: ,2022-02-02_multipletau_CH2_BIN0dot001_us_HsPEX5EGFP 1-1000016_T331s_1_correlation-CH2_2,2022-02-02_multipletau_CH2_BIN0dot001_us_HsPEX5EGFP 1-1000016_T331s_1_correlation-CH2_2 fitted model: ,2022-02-02_multipletau_CH2_BIN0dot001_us_HsPEX5EGFP 1-1000017_T353s_1_correlation-CH2_2,2022-02-02_multipletau_CH2_BIN0dot001_us_HsPEX5EGFP 1-1000017_T353s_1_correlation-CH2_2 fitted model: ,
14.336,0.009888312591275391,0.013100591039921726,0.014822590626081381,0.01137016669181528,0.011975876675247075,0.010665463352967582,
15.36,0.007833390547668257,0.012547711626436194,0.011742681880685082,0.010877482217365404,0.01255301482859168,0.010179334904834223,
16.384,0.007923344632417275,0.012071759980056914,0.010924651328277133,0.01045384805743371,0.009933608820707214,0.009761294874540794,
18.432000000000002,0.006934219889657629,0.01129676156339942,0.006540336589195685,0.0097650955978852,0.007514116625519174,0.009081546249218784,
20.48,0.006185478954218312,0.010695447128640328,0.007534073155146272,0.009231673401967224,0.00970732379359955,0.008555013304744143,
22.528,0.006066178945663896,0.01021761502792378,0.005059065184298432,0.008808452921680594,0.006092053888062786,0.008137201898223805,
24.576,0.004451328647366733,0.009830349028695827,0.002787535972775195,0.008465910800664958,0.0035831666044913663,0.007798997931541301,
26.624000000000002,0.004995692127099174,0.009511244439990681,0.005277719158913043,0.008183991454418489,0.0038274360616098375,0.007520620394803133,
28.672,0.006065407497166044,0.009244568663626683,0.001523950115732537,0.007948636494547785,0.0028062673382941803,0.0072882012361050585,
30.72,0.00830301693913343,0.009018978791832019,0.0007529088016471679,0.007749725928215916,0.0027412100206371044,0.007091756109649808,
32.768,0.008111838400517546,0.008826109389218354,0.0037464511141302023,0.0075798066983852035,0.002216190355321969,0.0069239309552004994,
36.864000000000004,0.007986560850139346,0.008514840646262681,0.006945484768499735,0.007305866478406756,-0.0011616402480955613,0.006653342009667257,
40.96,0.0037711992393779886,0.008275854766918354,0.009451152749446076,0.007095799777794375,-0.0003997703760369123,0.006445823065511875,
45.056,0.0004668028037183999,0.008087628214733187,0.004684298744343046,0.006930520400100226,0.0025841207290118193,0.006282533731438996,
49.152,-0.0021377977005675665,0.00793623764434795,0.0048907880407244525,0.006797702264931813,0.0022508193619859007,0.006151304907631293,
53.248000000000005,-0.0010924718674704423,0.007812316447034441,0.0030458332409765043,0.006689065091790132,0.00349739718958332,0.006043960758093913,
57.344,-0.0011603911906674135,0.0077093546179539015,-0.00053625686809298,0.006598860980744754,-0.0004924979368313043,0.00595482527952083,
61.44,-0.0031873845391984365,0.007622701010159745,-0.00045942630983714826,0.006522987692171499,-0.00004714712988886322,0.005879847167662631,
65.536,-0.002866996965208414,0.007548953024054908,-0.0016303342391463735,0.006458447026427345,-0.004634842961078671,0.0058160652076367485,
73.72800000000001,0.001900810602043123,0.0074306198663213405,0.0025370447808874055,0.006354953364362812,0.0003559455940673274,0.005713782577752872,
81.92,0.0042458633105257,0.0073403743782677056,0.00018874730847745014,0.00627608273806857,0.000815967437124207,0.005635829964052172,
90.112,-0.0011266543857259455,0.007269691787118031,0.0001252520977277401,0.006214346376230468,0.0012762707695713694,0.00557480903234631,
98.304,0.0004378867697615098,0.007213108546824185,-0.0012900701913244952,0.006164949706257554,-0.0020099429587428484,0.005525982686273234,
106.49600000000001,0.0004450024222173244,0.007166978027160747,0.0009553928987400904,0.0061246953961687466,0.00003655829652311132,0.005486191685487204,
114.688,0.0011981819032289777,0.007128782822263597,0.00305896808681847,0.006091377846859206,-0.001983511285360778,0.00545325656831828,
122.88,0.0017251095281735319,0.0070967348719081684,0.0014447724165770972,0.006063431470084082,0.0005885741248246191,0.0054256302145061705,
131.072,-0.0019223745825268418,0.007069532813635554,-0.002262136159080873,0.006039717454614353,-0.0004902445608937646,0.005402187192662485,
147.45600000000002,0.0009378805842359625,0.007026031867778804,-0.0010781992512310457,0.006001807816544935,0.002087030978354765,0.005364709644747702,
163.84,-0.002370497566268105,0.006992983926477166,0.0006399669359850238,0.005973019159180496,0.0006550595557689141,0.00533624814281326,
180.224,-0.0007649890081459405,0.006967181546986459,-0.0010571826399663478,0.005950549582086761,-0.0016828072346855207,0.00531403329065096,
196.608,0.001966900433788254,0.006946580457721323,-0.0014419063220375231,0.005932614333538314,-0.0010224364638590797,0.005296300952509934,
